time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1637841600,1.33232,1.3327499999999999,1.33053,1.33142,-1.2808290732847098e+308,-9.179546091366287e+307,NaN,-1.2808290732847098e+308,NaN,NaN,-1.2808290732847098e+308,-9.179546091366287e+307,NaN,-1.2808290732847098e+308,NaN,NaN
1637845200,1.33142,1.33165,1.33055,1.33143,NaN,7.193918370313623e+307,NaN,NaN,NaN,NaN,NaN,7.193918370313623e+307,NaN,NaN,NaN,NaN
1637848800,1.33143,1.33166,1.33084,1.3312599999999999,9.052259004589802e+307,-1.0803040488658715e+308,NaN,NaN,NaN,NaN,9.052259004589802e+307,-1.0803040488658715e+308,NaN,NaN,NaN,NaN
1637852400,1.3312599999999999,1.33252,1.33096,1.33181,-7.094164754748002e+307,1.251418052047313e+308,NaN,-7.094164754748002e+307,NaN,NaN,-7.094164754748002e+307,1.251418052047313e+308,NaN,-7.094164754748002e+307,NaN,NaN
1637856000,1.33181,1.33264,1.33178,1.33244,1.065324140944029e+308,NaN,1.065324140944029e+308,NaN,NaN,NaN,1.065324140944029e+308,NaN,1.065324140944029e+308,NaN,NaN,NaN
1637859600,1.33244,1.33272,1.33179,1.33246,-1.2340654121020307e+308,-8.844396622806384e+307,NaN,-1.2340654121020307e+308,NaN,NaN,-1.2340654121020307e+308,-8.844396622806384e+307,NaN,-1.2340654121020307e+308,NaN,NaN
1637863200,1.33246,1.33316,1.3318699999999999,1.33217,NaN,6.931265087169088e+307,NaN,NaN,NaN,NaN,NaN,6.931265087169088e+307,NaN,NaN,NaN,NaN
1637866800,1.33217,1.33259,1.33177,1.33211,8.721756846372166e+307,-1.0408616489632181e+308,NaN,NaN,NaN,NaN,8.721756846372166e+307,-1.0408616489632181e+308,NaN,NaN,NaN,NaN
1637870400,1.33211,1.33244,1.3315,1.33211,-6.835153522191919e+307,1.2057282008373063e+308,NaN,-6.835153522191919e+307,NaN,NaN,-6.835153522191919e+307,1.2057282008373063e+308,NaN,-6.835153522191919e+307,NaN,NaN
1637874000,1.33211,1.33243,1.33151,1.33181,1.0264286644000162e+308,NaN,1.0264286644000162e+308,NaN,NaN,NaN,1.0264286644000162e+308,NaN,1.0264286644000162e+308,NaN,NaN,NaN
1637877600,1.33181,1.33224,1.33154,1.33189,-1.1890091137929942e+308,-8.521483616175863e+307,NaN,-1.1890091137929942e+308,NaN,NaN,-1.1890091137929942e+308,-8.521483616175863e+307,NaN,-1.1890091137929942e+308,NaN,NaN
1637881200,1.33189,1.33223,1.33119,1.33121,NaN,6.678201396732653e+307,NaN,NaN,NaN,NaN,NaN,6.678201396732653e+307,NaN,NaN,NaN,NaN
1637884800,1.33121,1.33174,1.33047,1.33094,8.403321474636345e+307,-1.0028593093025997e+308,NaN,NaN,NaN,NaN,8.403321474636345e+307,-1.0028593093025997e+308,NaN,NaN,NaN,NaN
1637888400,1.33094,1.33145,1.3298699999999999,1.33042,-6.585598909394391e+307,1.1617065072027617e+308,NaN,-6.585598909394391e+307,NaN,NaN,-6.585598909394391e+307,1.1617065072027617e+308,NaN,-6.585598909394391e+307,NaN,NaN
1637892000,1.33042,1.33045,1.3298699999999999,1.3303099999999999,9.88953279673546e+307,NaN,9.88953279673546e+307,NaN,NaN,NaN,9.88953279673546e+307,NaN,9.88953279673546e+307,NaN,NaN,NaN
1637895600,1.3303099999999999,1.33055,1.32992,1.33013,-1.1455978417503162e+308,-8.210360312596679e+307,NaN,-1.1455978417503162e+308,NaN,NaN,-1.1455978417503162e+308,-8.210360312596679e+307,NaN,-1.1455978417503162e+308,NaN,NaN
1637899200,1.33013,1.33077,1.33001,1.33043,1.4542676688854765e+308,6.434377178544342e+307,1.4542676688854765e+308,NaN,NaN,NaN,1.4542676688854765e+308,6.434377178544342e+307,1.4542676688854765e+308,NaN,NaN,NaN
1637902800,1.33043,1.33061,1.33013,1.33052,NaN,-9.662444526193002e+307,NaN,NaN,NaN,NaN,NaN,-9.662444526193002e+307,NaN,NaN,NaN,NaN
1637906400,1.33052,1.33085,1.32966,1.33073,-9.660095911658387e+307,1.1192920659399433e+308,NaN,NaN,NaN,NaN,-9.660095911658387e+307,1.1192920659399433e+308,NaN,NaN,NaN,NaN
1637910000,1.33073,1.33079,1.32957,1.33023,7.570520453427701e+307,-1.4208740661116396e+308,7.570520453427701e+307,NaN,NaN,NaN,7.570520453427701e+307,-1.4208740661116396e+308,7.570520453427701e+307,NaN,NaN,NaN
1637913600,1.33023,1.33168,1.32779,1.33046,-1.1368580343653933e+308,NaN,NaN,-1.1368580343653933e+308,NaN,NaN,-1.1368580343653933e+308,NaN,NaN,-1.1368580343653933e+308,NaN,NaN
